municipios,precio_medio_sqm_apartm,precio_medio_sqm_casa,precio_medio_sqm_alqu,poblacion,price_sqm_amonth_alqu,postal_codes
Palma de Mallorca,3238 €,2930 €,141,409.652,11.75,7001
Calvia,4531 €,5357 €,216,49.327,18.0,7184
Manacor,1800 €,1927 €,109,42.634,9.083333333333334,7500
Santa Eularia des Riu,5167 €,6825 €,230,41.783,19.166666666666668,7840
Llucmajor,2700 €,2930 €,137,36.364,11.416666666666666,7620
Ciutadella de Menorca,2281 €,2750 €,120,29.239,10.0,7760
Mao,2321 €,2222 €,93,28.594,7.75,7700
Sant Josep de sa Talaia,4612 €,6900 €,272,26.503,22.666666666666668,7830
Sant Antoni de Portmany,4000 €,6375 €,259,25.773,21.583333333333332,7820
Felanitx,1753 €,2379 €,116,17.484,9.666666666666666,7200
Pollensa,3108 €,3857 €,134,16.182,11.166666666666666,7460
Soller,3148 €,3800 €,132,14.045,11.0,7100
Formentera,7051 €,11.723 €,395,12.216,32.916666666666664,7470
Santanyi,3487 €,5363 €,137,12.128,11.416666666666666,7650
Santa Margalida,2438 €,1992 €,124,11.952,10.333333333333334,7450
Capdepera,3193 €,2739 €,137,11.605,11.416666666666666,7580
Son Servera,2200 €,2803 €,130,11.38,10.833333333333334,7550
Andratx,5049 €,4440 €,217,11.007,18.083333333333332,7150
Campos,2208 €,3391 €,92,10.636,7.666666666666667,7630
Lloret de Vistalegre,2528 €,2667 €,141,8402.0,11.75,7518
Arta,2600 €,3068 €,131,7666.0,10.916666666666666,7570
Es Castell,2357 €,2551 €,103,7350.0,8.583333333333334,7409
Muro,1752 €,1537 €,120,6928.0,10.0,7440
Sant Lluis,2696 €,3298 €,151,6909.0,12.583333333333334,7710
Bunyola,2829 €,3163 €,111,6712.0,9.25,7110
Sant Joan de Labritja,4435 €,7813 €,257,6200.0,21.416666666666668,7810
Algaida,2427 €,2288 €,114,5531.0,9.5,7210
Ses Salines,3269 €,3922 €,124,4873.0,10.333333333333334,7748
Es Mercadal,2558 €,2913 €,136,4772.0,11.333333333333334,7740
Selva,2000 €,2321 €,83,3980.0,6.916666666666667,7313
Sencelles,2398 €,2754 €,141,3195.0,11.75,7140
Puigpunyent,2911 €,3451 €,120,1964.0,10.0,7194
Banyalbufar,3375 €,3162 €,104,503.0,8.666666666666666,7191
